entry_id,protein,dms_id,num_mutations
pg-00045,CUE1_YEAST,CUE1_YEAST_Tsuboyama_2023_2MYX,
pg-00046,D7PM05_CLYGR,D7PM05_CLYGR_Somermeyer_2022,
pg-00047,DLG4_HUMAN,DLG4_HUMAN_Faure_2021,
pg-00048,DLG4_RAT,DLG4_RAT_McLaughlin_2012,
pg-00049,DN7A_SACS2,DN7A_SACS2_Tsuboyama_2023_1JIC,
pg-00050,DNJA1_HUMAN,DNJA1_HUMAN_Tsuboyama_2023_2LO1,
pg-00051,DOCK1_MOUSE,DOCK1_MOUSE_Tsuboyama_2023_2M0Y,
pg-00052,DYR_ECOLI,DYR_ECOLI_Nguyen_2023,
pg-00053,DYR_ECOLI,DYR_ECOLI_Thompson_2019,
pg-00054,ENV_HV1B9,ENV_HV1B9_DuenasDecamp_2016,
pg-00055,ENV_HV1BR,ENV_HV1BR_Haddox_2016,
pg-00056,ENVZ_ECOLI,ENVZ_ECOLI_Ghose_2023,
pg-00057,EPHB2_HUMAN,EPHB2_HUMAN_Tsuboyama_2023_1F0M,
pg-00058,ERBB2_HUMAN,ERBB2_HUMAN_Elazar_2016,
pg-00059,ESTA_BACSU,ESTA_BACSU_Nutschel_2020,
pg-00060,F7YBW8_MESOW,F7YBW8_MESOW_Ding_2023,
pg-00061,F7YBW8_MESOW,F7YBW8_MESOW_Aakre_2015,
pg-00062,FECA_ECOLI,FECA_ECOLI_Tsuboyama_2023_2D1U,
pg-00063,FKBP3_HUMAN,FKBP3_HUMAN_Tsuboyama_2023_2KFV,
pg-00064,GAL4_YEAST,GAL4_YEAST_Kitzman_2015,
pg-00065,GCN4_YEAST,GCN4_YEAST_Staller_2018,
pg-00066,GDIA_HUMAN,GDIA_HUMAN_Silverstein_2021,
pg-00067,GFP_AEQVI,GFP_AEQVI_Sarkisyan_2016,
pg-00068,GLPA_HUMAN,GLPA_HUMAN_Elazar_2016,
pg-00069,GRB2_HUMAN,GRB2_HUMAN_Faure_2021,
pg-00070,HCP_LAMBD,HCP_LAMBD_Tsuboyama_2023_2L6Q,
pg-00071,HECD1_HUMAN,HECD1_HUMAN_Tsuboyama_2023_3DKM,
pg-00072,HEM3_HUMAN,HEM3_HUMAN_Loggerenberg_2023,
pg-00073,HIS7_YEAST,HIS7_YEAST_Pokusaeva_2019,
pg-00074,HMDH_HUMAN,HMDH_HUMAN_Jiang_2019,
pg-00075,HSP82_YEAST,HSP82_YEAST_Cote-Hammarlof_2020_growth-H2O2,
pg-00076,HSP82_YEAST,HSP82_YEAST_Flynn_2019,
pg-00077,HSP82_YEAST,HSP82_YEAST_Mishra_2016,
pg-00078,HXK4_HUMAN,HXK4_HUMAN_Gersing_2022_activity,
pg-00079,HXK4_HUMAN,HXK4_HUMAN_Gersing_2023_abundance,
pg-00080,I6TAH8_I68A0,I6TAH8_I68A0_Doud_2015,
pg-00081,IF1_ECOLI,IF1_ECOLI_Kelsic_2016,
pg-00082,ILF3_HUMAN,ILF3_HUMAN_Tsuboyama_2023_2L33,
pg-00083,ISDH_STAAW,ISDH_STAAW_Tsuboyama_2023_2LHR,
pg-00084,KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_expression,
pg-00085,KCNE1_HUMAN,KCNE1_HUMAN_Muhammad_2023_function,
pg-00086,KCNH2_HUMAN,KCNH2_HUMAN_Kozek_2020,
pg-00087,KCNJ2_MOUSE,KCNJ2_MOUSE_Coyote-Maestas_2022_function,
pg-00088,KCNJ2_MOUSE,KCNJ2_MOUSE_Coyote-Maestas_2022_surface,
pg-00089,KKA2_KLEPN,KKA2_KLEPN_Melnikov_2014,
pg-00090,LGK_LIPST,LGK_LIPST_Klesmith_2015,
pg-00091,LYAM1_HUMAN,LYAM1_HUMAN_Elazar_2016,
pg-00092,MAFG_MOUSE,MAFG_MOUSE_Tsuboyama_2023_1K1V,
pg-00093,MBD11_ARATH,MBD11_ARATH_Tsuboyama_2023_6ACV,
pg-00094,MET_HUMAN,MET_HUMAN_Estevam_2023,
pg-00095,MK01_HUMAN,MK01_HUMAN_Brenan_2016,
pg-00096,MLAC_ECOLI,MLAC_ECOLI_MacRae_2023,
pg-00097,MSH2_HUMAN,MSH2_HUMAN_Jia_2020,
pg-00098,MTH3_HAEAE,MTH3_HAEAE_RockahShmuel_2015,
pg-00099,MTHR_HUMAN,MTHR_HUMAN_Weile_2021,
pg-00100,MYO3_YEAST,MYO3_YEAST_Tsuboyama_2023_2BTT,
pg-00101,NCAP_I34A1,NCAP_I34A1_Doud_2015,
pg-00102,NKX31_HUMAN,NKX31_HUMAN_Tsuboyama_2023_2L9R,
pg-00103,NPC1_HUMAN,NPC1_HUMAN_Erwood_2022_HEK293T,
pg-00104,NPC1_HUMAN,NPC1_HUMAN_Erwood_2022_RPE1,
pg-00105,NRAM_I33A0,NRAM_I33A0_Jiang_2016,
pg-00106,NUD15_HUMAN,NUD15_HUMAN_Suiter_2020,
pg-00107,NUSA_ECOLI,NUSA_ECOLI_Tsuboyama_2023_1WCL,
pg-00108,NUSG_MYCTU,NUSG_MYCTU_Tsuboyama_2023_2MI6,
pg-00109,OBSCN_HUMAN,OBSCN_HUMAN_Tsuboyama_2023_1V1C,
pg-00110,ODP2_GEOSE,ODP2_GEOSE_Tsuboyama_2023_1W4G,
pg-00111,OPSD_HUMAN,OPSD_HUMAN_Wan_2019,
pg-00112,OTC_HUMAN,OTC_HUMAN_Lo_2023,
pg-00113,OTU7A_HUMAN,OTU7A_HUMAN_Tsuboyama_2023_2L2D,
pg-00114,OXDA_RHOTO,OXDA_RHOTO_Vanella_2023_activity,
pg-00115,OXDA_RHOTO,OXDA_RHOTO_Vanella_2023_expression,
pg-00116,P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Etoposide,
pg-00117,P53_HUMAN,P53_HUMAN_Giacomelli_2018_Null_Nutlin,
pg-00118,P53_HUMAN,P53_HUMAN_Giacomelli_2018_WT_Nutlin,
pg-00119,P53_HUMAN,P53_HUMAN_Kotler_2018,
pg-00120,P84126_THETH,P84126_THETH_Chan_2017,
pg-00121,PA_I34A1,PA_I34A1_Wu_2015,
pg-00122,PABP_YEAST,PABP_YEAST_Melamed_2013,
pg-00123,PAI1_HUMAN,PAI1_HUMAN_Huttinger_2021,
pg-00124,PHOT_CHLRE,PHOT_CHLRE_Chen_2023,
pg-00125,PIN1_HUMAN,PIN1_HUMAN_Tsuboyama_2023_1I6C,
pg-00126,PITX2_HUMAN,PITX2_HUMAN_Tsuboyama_2023_2L7M,
pg-00127,PKN1_HUMAN,PKN1_HUMAN_Tsuboyama_2023_1URF,
pg-00128,POLG_CXB3N,POLG_CXB3N_Mattenberger_2021,
pg-00129,POLG_DEN26,POLG_DEN26_Suphatrakul_2023,
pg-00130,POLG_HCVJF,POLG_HCVJF_Qi_2014,
pg-00131,POLG_PESV,POLG_PESV_Tsuboyama_2023_2MXD,
pg-00132,PPARG_HUMAN,PPARG_HUMAN_Majithia_2016,
pg-00133,PPM1D_HUMAN,PPM1D_HUMAN_Miller_2022,
pg-00134,PR40A_HUMAN,PR40A_HUMAN_Tsuboyama_2023_1UZC,
pg-00135,PRKN_HUMAN,PRKN_HUMAN_Clausen_2023,
pg-00136,PSAE_PICP2,PSAE_PICP2_Tsuboyama_2023_1PSE,
pg-00137,PTEN_HUMAN,PTEN_HUMAN_Matreyek_2021,
pg-00138,PTEN_HUMAN,PTEN_HUMAN_Mighell_2018,
pg-00139,Q2N0S5_9HIV1,Q2N0S5_9HIV1_Haddox_2018,
pg-00140,Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_binding-TAPBPR,
pg-00141,Q53Z42_HUMAN,Q53Z42_HUMAN_McShan_2019_expression,
pg-00142,Q59976_STRSQ,Q59976_STRSQ_Romero_2015,
pg-00143,Q6WV12_9MAXI,Q6WV12_9MAXI_Somermeyer_2022,
pg-00144,Q837P4_ENTFA,Q837P4_ENTFA_Meier_2023,
pg-00145,Q837P5_ENTFA,Q837P5_ENTFA_Meier_2023,
pg-00146,Q8WTC7_9CNID,Q8WTC7_9CNID_Somermeyer_2022,
pg-00147,R1AB_SARS2,R1AB_SARS2_Flynn_2022,
pg-00148,RAD_ANTMA,RAD_ANTMA_Tsuboyama_2023_2CJJ,
pg-00149,RAF1_HUMAN,RAF1_HUMAN_Zinkus-Boltz_2019,
pg-00150,RASH_HUMAN,RASH_HUMAN_Bandaru_2017,
pg-00151,RASK_HUMAN,RASK_HUMAN_Weng_2022_abundance,
pg-00152,RASK_HUMAN,RASK_HUMAN_Weng_2022_binding-DARPin_K55,
pg-00153,RBP1_HUMAN,RBP1_HUMAN_Tsuboyama_2023_2KWH,
pg-00154,RCD1_ARATH,RCD1_ARATH_Tsuboyama_2023_5OAO,
pg-00155,RCRO_LAMBD,RCRO_LAMBD_Tsuboyama_2023_1ORC,
pg-00156,RD23A_HUMAN,RD23A_HUMAN_Tsuboyama_2023_1IFY,
pg-00157,RDRP_I33A0,RDRP_I33A0_Li_2023,
pg-00158,REV_HV1H2,REV_HV1H2_Fernandes_2016,
pg-00159,RFAH_ECOLI,RFAH_ECOLI_Tsuboyama_2023_2LCL,
pg-00160,RL20_AQUAE,RL20_AQUAE_Tsuboyama_2023_1GYZ,
pg-00161,RL40A_YEAST,RL40A_YEAST_Mavor_2016,
pg-00162,RL40A_YEAST,RL40A_YEAST_Roscoe_2013,
pg-00163,RL40A_YEAST,RL40A_YEAST_Roscoe_2014,
pg-00164,RNC_ECOLI,RNC_ECOLI_Weeks_2023,
pg-00165,RPC1_BP434,RPC1_BP434_Tsuboyama_2023_1R69,
pg-00166,RPC1_LAMBD,RPC1_LAMBD_Li_2019_high-expression,
pg-00167,RPC1_LAMBD,RPC1_LAMBD_Li_2019_low-expression,
pg-00168,RS15_GEOSE,RS15_GEOSE_Tsuboyama_2023_1A32,
pg-00169,S22A1_HUMAN,S22A1_HUMAN_Yee_2023_abundance,
pg-00170,S22A1_HUMAN,S22A1_HUMAN_Yee_2023_activity,
pg-00171,SAV1_MOUSE,SAV1_MOUSE_Tsuboyama_2023_2YSB,
pg-00172,SBI_STAAM,SBI_STAAM_Tsuboyama_2023_2JVG,
pg-00173,SC6A4_HUMAN,SC6A4_HUMAN_Young_2021,
pg-00174,SCIN_STAAR,SCIN_STAAR_Tsuboyama_2023_2QFF,
pg-00175,SCN5A_HUMAN,SCN5A_HUMAN_Glazer_2019,
pg-00176,SDA_BACSU,SDA_BACSU_Tsuboyama_2023_1PV0,
pg-00177,SERC_HUMAN,SERC_HUMAN_Xie_2023,
pg-00178,SHOC2_HUMAN,SHOC2_HUMAN_Kwon_2022,
pg-00179,SOX30_HUMAN,SOX30_HUMAN_Tsuboyama_2023_7JJK,
pg-00180,SPA_STAAU,SPA_STAAU_Tsuboyama_2023_1LP1,
pg-00181,SPG1_STRSG,SPG1_STRSG_Olson_2014,
pg-00182,SPG1_STRSG,SPG1_STRSG_Wu_2016,
pg-00183,SPG2_STRSG,SPG2_STRSG_Tsuboyama_2023_5UBS,
pg-00184,SPIKE_SARS2,SPIKE_SARS2_Starr_2020_binding,
pg-00185,SPIKE_SARS2,SPIKE_SARS2_Starr_2020_expression,
pg-00186,SPTN1_CHICK,SPTN1_CHICK_Tsuboyama_2023_1TUD,
pg-00187,SQSTM_MOUSE,SQSTM_MOUSE_Tsuboyama_2023_2RRU,
pg-00188,SR43C_ARATH,SR43C_ARATH_Tsuboyama_2023_2N88,
pg-00189,SRBS1_HUMAN,SRBS1_HUMAN_Tsuboyama_2023_2O2W,
pg-00190,SRC_HUMAN,SRC_HUMAN_Ahler_2019,
pg-00191,SRC_HUMAN,SRC_HUMAN_Chakraborty_2023_binding-DAS_25uM,
pg-00192,SRC_HUMAN,SRC_HUMAN_Nguyen_2022,
pg-00193,SUMO1_HUMAN,SUMO1_HUMAN_Weile_2017,
pg-00194,SYUA_HUMAN,SYUA_HUMAN_Newberry_2020,
pg-00195,TADBP_HUMAN,TADBP_HUMAN_Bolognesi_2019,
pg-00196,TAT_HV1BR,TAT_HV1BR_Fernandes_2016,
pg-00197,TCRG1_MOUSE,TCRG1_MOUSE_Tsuboyama_2023_1E0L,
pg-00198,THO1_YEAST,THO1_YEAST_Tsuboyama_2023_2WQG,
pg-00199,TNKS2_HUMAN,TNKS2_HUMAN_Tsuboyama_2023_5JRT,
pg-00200,TPK1_HUMAN,TPK1_HUMAN_Weile_2017,
pg-00201,TPMT_HUMAN,TPMT_HUMAN_Matreyek_2018,
pg-00202,TPOR_HUMAN,TPOR_HUMAN_Bridgford_2020,
pg-00203,TRPC_SACS2,TRPC_SACS2_Chan_2017,
pg-00204,TRPC_THEMA,TRPC_THEMA_Chan_2017,
pg-00205,UBC9_HUMAN,UBC9_HUMAN_Weile_2017,
pg-00206,UBE4B_HUMAN,UBE4B_HUMAN_Tsuboyama_2023_3L1X,
pg-00207,UBE4B_MOUSE,UBE4B_MOUSE_Starita_2013,
pg-00208,UBR5_HUMAN,UBR5_HUMAN_Tsuboyama_2023_1I2T,
pg-00209,VG08_BPP22,VG08_BPP22_Tsuboyama_2023_2GP8,
pg-00210,VILI_CHICK,VILI_CHICK_Tsuboyama_2023_1YU5,
pg-00211,VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_abundance,
pg-00212,VKOR1_HUMAN,VKOR1_HUMAN_Chiasson_2020_activity,
pg-00213,VRPI_BPT7,VRPI_BPT7_Tsuboyama_2023_2WNM,
pg-00214,YAIA_ECOLI,YAIA_ECOLI_Tsuboyama_2023_2KVT,
pg-00215,YAP1_HUMAN,YAP1_HUMAN_Araya_2012,
pg-00216,YNZC_BACSU,YNZC_BACSU_Tsuboyama_2023_2JVD,
